policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,being_overtaken,6.670301727029801,1.0586654558023807,-8.125191217160705,,False,goal,False,False,42,20.683063883819244,-8.680685004973531,0,0,0,4,0,0.0,0.0,0.0,2.1433790135737114,0.0,0.9137785000950865,1.0219663871799847,3.756337121337064,0,,False,being_overtaken,4,0.0,False,0.0,development,76
model,being_overtaken,5.356479981505558,0.9907156936819963,15.324574439340552,,True,goal,False,False,41,26.394409709971725,-8.735273573810506,0,0,0,6,0,0.0,0.0,0.0,2.156857672545804,0.0,0.9308240271999558,1.0555966604531064,3.615739111971351,0,,False,being_overtaken,6,0.0,False,0.0,development,77
model,being_overtaken,5.304665427323811,1.9533979261024776,3.1124246948200778,,False,goal,False,False,42,34.09759703314812,-1.2350143437088126,0,0,0,1,0,0.0,0.0,0.0,0.3049418132614352,0.0,0.9069479940937641,1.0330661869366393,3.806006328005839,0,,False,being_overtaken,1,0.0,False,0.0,development,78
model,being_overtaken,9.457641443617554,1.830325851469898,6.1127679083941615,,False,collision:target,True,True,18,-337.9626406821965,-27.506352108307205,0,0,0,9,0,0.0,0.0,0.0,6.79169187859437,0.0,0.7515079087453108,0.8797432180395592,1.6971135388435112,0,,False,being_overtaken,16,0.0,False,0.0,development,79
model,null,9.556232149411287,7.415079221008671,3.2202052079999497,,,goal,False,False,68,58.93716625841844,-5.841559430438972,3,1,3,0,0,0.38776944121628054,0.025185286011582153,1.0548426474058477,0.0,0.0,0.5866811246448306,0.7547394740318555,5.016450105387617,0,,False,overtaking,3,0.0,False,0.0,development,80
model,null,7.111260720178818,8.273866545950307,-13.430990414865116,,,collision:obstacle,True,False,46,-425.9640805346621,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.627719916123897,0.8292186169900715,5.571460856486547,0,,False,never,0,0.0,False,0.0,development,81
model,null,9.924433511599638,8.480442251715623,-7.349722634774217,,,goal,False,False,65,147.81676272570752,-5.4124823762609005,1,0,4,0,0,0.07309228623447056,0.0,1.4029654331667416,0.0,0.0,0.5827517111839366,0.7444600535790673,4.787587486335668,0,,False,overtaking,4,0.0,False,0.0,development,82
model,null,7.777153961253272,8.19210853540256,1.5450735276472507,,,collision:target,True,True,79,-832.2022444552591,-16.991199428214966,8,3,5,0,4,1.4354488129809742,0.7727572168856093,1.4826556792531997,0.0,0.1606709189030796,0.6105529384450357,0.9183741503978335,1.4952015119465998,0,,False,overtaking,9,0.0,False,0.0,development,83
model,null,9.472351939506785,9.833754847651186,-7.881894193512018,,,goal,False,False,70,83.09586550934831,-5.783263930906864,4,0,0,0,2,1.0966304124150137,0.0,0.0,0.0,0.0788763087672324,0.559112020635127,0.6730951252658558,4.712397219116283,0,,False,overtaking,4,0.0,False,0.0,development,84
model,null,7.618572716555467,5.737909351285462,19.269421523256625,,,goal,False,False,59,44.17982391487455,-16.66916846090106,7,0,5,0,0,2.5577554210277462,0.0,1.1134108685593649,0.0,0.0,0.6453644080561296,0.902899040388169,4.547566800227647,0,,False,overtaking,18,0.0,False,0.0,development,85
