policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,rms_cte,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,case_id,scenario,stratum,supervisor,behaviour
model,being_overtaken,8.293797301955069,1.845379619210776,2.044419699169476,,False,,goal,False,False,80,6.442275279111243,-36.50012363440052,0,0,0,6,0,0.0,0.0,0.0,9.054402050073914,0.0,0.4793123004742062,0.7721447466017034,1.265010398020442,1.1604944740075278,0,,False,being_overtaken,20,0.0,False,0.0,tier_b,B-23-04,464,channel-wide,off,re
model,being_overtaken,9.854291046698089,2.1231303294610084,-9.909304134018296,,False,,goal,False,False,73,87.89189253057117,-19.685899514203403,0,0,0,24,0,0.0,0.0,0.0,4.86071592943294,0.0,0.5348292069804021,0.7145096301027046,3.526506545405724,1.3135472788345577,0,,False,being_overtaken,27,0.0,False,0.0,tier_b,B-23-05,465,channel-wide,off,re
model,being_overtaken,9.629790189691873,1.64106838579003,3.834188958125084,,False,,goal,False,False,67,57.77026899168667,-43.0401607886234,0,0,0,15,0,0.0,0.0,0.0,10.627200194721825,0.0,0.584985821956168,0.8194583819707479,1.7400438381740264,0.6842824878228093,0,,False,being_overtaken,24,0.0,False,0.0,tier_b,B-23-06,466,channel-wide,off,re
model,being_overtaken,7.948109270309695,1.3683473913920756,-3.1107924413628973,,False,,goal,False,False,69,0.2109529652879302,-16.144361872561973,0,0,0,6,0,0.0,0.0,0.0,3.9862621907560425,0.0,0.5698406254145599,0.743790540158484,2.058880709325147,1.7156403702620204,0,,False,being_overtaken,12,0.0,False,0.0,tier_b,B-23-07,467,channel-wide,off,re
model,being_overtaken,7.672503872601322,1.4938548387174084,4.131282748524471,,False,,goal,False,False,67,70.70579862666911,-51.13191492471101,0,0,0,14,0,0.0,0.0,0.0,12.625164178940988,0.0,0.5710547228901436,0.7668352586960983,1.6840708768690205,0.5915263127665157,0,,False,being_overtaken,24,0.0,False,0.0,tier_b,B-23-08,468,channel-wide,off,re
model,being_overtaken,7.978192491225289,1.9771335862570685,-8.91964174148698,,False,,goal,False,False,72,26.10324349494992,-33.142278368713264,5,2,1,20,1,1.6623290587254178,0.3247410643808352,0.1274322089321191,5.634226047611354,0.0064244031901539,0.5332609130847951,0.6988336454162426,3.345108220522208,1.4283852097850829,0,,False,being_overtaken,26,0.0,False,0.0,tier_b,B-23-09,469,channel-wide,off,re
model,being_overtaken,8.10620508678502,1.7230386898978356,-3.43688015591082,,False,,goal,False,False,69,94.2756813240038,-17.303187119692026,0,0,0,12,0,0.0,0.0,0.0,4.272391881405437,0.0,0.5533966531732913,0.6888924726840029,2.7169023135179744,1.0794507485160811,0,,False,being_overtaken,16,0.0,False,0.0,tier_b,B-23-10,470,channel-wide,off,re
model,being_overtaken,9.088319523493857,1.5351782310889264,-3.5114801933301294,,False,,goal,False,False,66,43.60142621090564,-24.736263156132296,5,0,1,10,0,0.1868999480970773,0.0,0.0696360821681041,5.8173872882090345,0.0,0.6030216322999673,0.7290312757595971,2.88913923556348,1.9785406202573532,0,,False,being_overtaken,16,0.0,False,0.0,tier_b,B-23-11,471,channel-wide,off,re
model,being_overtaken,7.659173454426465,2.078260832878576,-9.434247459104212,,False,,goal,False,False,75,-12.62383893326475,-14.485241046973943,0,0,0,11,0,0.0,0.0,0.0,3.5766027276478862,0.0,0.5071493826631814,0.7179997711211613,2.8369068858124336,0.8937023427089928,0,,False,being_overtaken,14,0.0,False,0.0,tier_b,B-23-12,472,channel-wide,off,re
model,being_overtaken,8.740825435087887,1.6193852075255402,5.995745097227768,,False,,collision:obstacle,True,False,47,-366.55076845847526,-21.26720909192568,0,0,0,6,0,0.0,0.0,0.0,5.251162738747081,0.0,0.4487104551369206,0.6532315022999425,1.5065628804667464,0.318017228300392,0,,False,being_overtaken,15,0.0,False,0.0,tier_b,B-23-13,473,channel-wide,off,re
